MonitoringLocationID,MonitoringLocationName,Date,Characteristic,Value,Unit,Latitude,Longitude,Year
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-30,"Total Phosphorus, mixed forms",0.348,mg/L,39.992569,-97.931967,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-07-22,Chloride,62.9,mg/L,39.980149,-97.003893,2024
EPA_R7_WQX-SC638,Captain Creek near Eudora,2024-10-07,Conductivity,563.0,mS/cm,38.94317,-95.06243,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-01-04,Aluminum,357.0,ug/L,39.992569,-97.931967,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-05-30,"Total Nitrogen, mixed forms",0.41,mg/L,39.3225,-95.7758,2024
11NPSWRD_WQX-HTLN_TAPR_MPC36,TAPR Middle Palmer Creek Site 36,2024-08-13,Specific conductance,16.60773,uS/cm,38.492561,-96.58363,2024
PEORIAWATER-N3,Neosho River 3,2024-09-30,pH,8.45,,37.034843598,-95.0735833821,2024
EPA_R7_WQX-SC571,Labette Creek near Chetopa,2024-09-23,Dissolved oxygen (DO),3.9,mg/L,37.07454,-95.10293,2024
11NPSWRD_WQX-HTLN_TAPR_MID01,TAPR Middle Site 01,2024-08-12,Specific conductance,349.0,uS/cm,38.438094,-96.557908,2024
EPA_R7_WQX-SC683,Crooked Creek near Winchester,2024-09-26,Turbidity,3.18,NTU,39.36338,-95.28536,2024
EPA_R7_WQX-SC606,Pumpkin Creek near Coffeyville,2024-10-10,Dissolved oxygen (DO),5.8,mg/L,37.04245,-95.54884,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-02-21,pH,8.2,,39.992569,-97.931967,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-08-27,Total dissolved solids,370.0,mg/L,39.2658,-95.8864,2024
EPA_R7_WQX-HSG3,HSG Downstream,2024-09-16,Turbidity,17.2,NTU,39.0513643947,-94.8825487425,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-07-25,Alkalinity,230.0,mg/L,39.3758,-95.9183,2024
EPA_R7_WQX-SC638,Captain Creek near Eudora,2024-10-09,pH,7.47,,38.94317,-95.06243,2024
EPA_R7_WQX-SC638,Captain Creek near Eudora,2024-09-23,pH,7.6,,38.94317,-95.06243,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-05-30,Alkalinity,230.0,mg/L,39.3758,-95.9183,2024
EPA_R7_WQX-SC722,Mosquito Creek near Troy,2024-09-26,Conductivity,522.0,mS/cm,39.8489,-95.10136,2024
EPA_R7_WQX-SC553,Independence Creek near Atchison,2024-09-23,"Temperature, water",18.743,deg C,39.59463,-95.09569,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-09-16,"Total Phosphorus, mixed forms",0.486,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-03-11,Total suspended solids,19.5,mg/L,39.980149,-97.003893,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-07-10,Total hardness,360.0,mg/L,39.2658,-95.8864,2024
EPA_R7_WQX-SC577,Dragoon Creek near Burlingame,2024-10-10,Conductivity,473.1,mS/cm,38.69917,-95.77882,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-09-05,Dissolved oxygen (DO),9.7,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-07-29,Escherichia coli,816.0,MPN/100mL,39.980149,-97.003893,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-02,Turbidity,16.0,NTU,39.992569,-97.931967,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-08-20,Kjeldahl nitrogen,1.1,mg/L,39.980149,-97.003893,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-08-14,Nickel,1.9,ug/L,39.3758,-95.9183,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-07-22,Escherichia coli,33.0,MPN/100mL,39.980149,-97.003893,2024
EPA_R7_WQX-SC722,Mosquito Creek near Troy,2024-10-09,Total Coliform,2419.6,MPN/100mL,39.8489,-95.10136,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-08-14,Aluminum,0.52,mg/L,39.3758,-95.9183,2024
EPA_R7_WQX-LKR08,Little Stranger Creek,2024-06-06,Dissolved oxygen (DO),6.23,mg/L,39.1479,-95.013031,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-02-21,Specific conductance,820.0,umho/cm,39.992569,-97.931967,2024
