MonitoringLocationID,Records,Mean_Value,Median_Value,Max_Value,Latitude,Longitude
NARS_WQX-NRS_KS-10255,1,0.9048,0.9048,0.9048,39.65317317,-98.88144118
NARS_WQX-NRS_KS-10226,2,0.83935,0.83935,1.1567,39.32949678,-95.35688326
NARS_WQX-NRS_KS-10208,1,0.8141,0.8141,0.8141,39.01991425,-97.62109954
NARS_WQX-NRS_KS-10222,1,0.8079,0.8079,0.8079,39.20750693,-94.81716042
NARS_WQX-NRS_KS-10039,1,0.7685,0.7685,0.7685,39.72624414,-94.91122091
NARS_WQX-NRS_KS-10431,1,0.724,0.724,0.724,38.6157999,-96.17854363
NARS_WQX-NRS_KS-10246,1,0.7193,0.7193,0.7193,37.76116475,-94.9562043
NARS_WQX-NRS_KS-10199,1,0.6977,0.6977,0.6977,37.07185357,-97.50849573
EPA_R7_WQX-RSTIP09,3,0.6956666666666668,0.27,1.55,38.163689,-97.09792699999998
NARS_WQX-NRS_KS-10051,2,0.6841,0.6841,0.7043,39.06027253,-94.84194972
PRAIRIEBAND-LSCO3,8,0.6675,0.665,1.2,39.3225,-95.7758
NARS_WQX-NRS_KS-10196,2,0.6445000000000001,0.6445000000000001,0.74,39.57629487,-98.51414655
PRAIRIEBAND-MW03,1,0.61,0.61,0.61,39.318614,-95.738642
PRAIRIEBAND-LSCO4,4,0.57,0.6,0.63,39.2887,-95.7617
NARS_WQX-NRS_KS-10264,1,0.5171,0.5171,0.5171,38.91041431,-96.45214179
NARS_WQX-NWC_KS-10102,2,0.5151,0.5151,0.991,38.07983,-98.06508
NARS_WQX-NRS_KS-10250,1,0.5087,0.5087,0.5087,38.05708438,-95.63541799
EPA_R7_WQX-KVC5,1,0.491,0.491,0.491,39.0590862782,-94.7668430563
NARS_WQX-NWC_KS-10143,1,0.478,0.478,0.478,37.787233,-95.967877
NARS_WQX-NRS_KS-10293,1,0.4029,0.4029,0.4029,38.51416207,-95.96179912
EPA_R7_WQX-CON2,1,0.374,0.374,0.374,39.0930760045,-94.7100326483
NARS_WQX-NRS_KS-10289,1,0.3634,0.3634,0.3634,37.02237885,-94.6211974
EPA_R7_WQX-RSTIP10,4,0.3575,0.35000000000000003,0.71,37.722646,-97.358462
NARS_WQX-NRS_KS-10252,1,0.332,0.332,0.332,38.65767114,-97.17331128
NARS_WQX-NWC_KS-10129,1,0.331,0.331,0.331,37.239256,-98.557535
NARS_WQX-NRS_KS-10361,1,0.33,0.33,0.33,39.91711927,-97.14841713
EPA_R7_WQX-RSTIP03,5,0.25282,0.132,0.768,39.472247,-96.832223
NARS_WQX-NRS_KS-10448,1,0.215,0.215,0.215,37.4680573,-99.04453627
EPA_R7_WQX-KVC4,1,0.196,0.196,0.196,39.0577013613,-94.7678183403
NARS_WQX-NRS_KS-10245,1,0.189,0.189,0.189,38.75125952,-98.87007228
NARS_WQX-NRS_KS-10262,1,0.1881,0.1881,0.1881,38.61995291,-95.27727329
NARS_WQX-NRS_KS-10093,2,0.1469,0.1469,0.1822,37.20970471,-95.54539085
EPA_R7_WQX-RSTIP04,2,0.14350000000000002,0.14350000000000002,0.153,38.877043,-97.52317
EPA_R7_WQX-KVC6,1,0.139,0.139,0.139,39.0603029982,-94.7665188018
EPA_R7_WQX-RSTIP08,5,0.09559999999999999,0.131,0.154,38.486057,-96.691025
NARS_WQX-NRS_KS-10446,1,0.079,0.079,0.079,39.84655733,-97.16511325
EPA_R7_WQX-KVC2,1,0.0752,0.0752,0.0752,39.0444992045,-94.7986675238
EPA_R7_WQX-RSTIP05,10,0.06499999999999999,0.02,0.147,38.10035,-98.509398
EPA_R7_WQX-RSTIP02,5,0.0606,0.02,0.223,39.149088,-96.718446
EPA_R7_WQX-RSTIP07,10,0.0591,0.02,0.219,38.43461,-96.54928
NARS_WQX-NRS_KS-10290,1,0.0548,0.0548,0.0548,37.05079383,-98.71547714
NARS_WQX-NRS_KS-10235,1,0.051,0.051,0.051,39.89576845,-101.7077863
EPA_R7_WQX-LBB2,1,0.0442,0.0442,0.0442,39.0685003956,-95.7710493207
NARS_WQX-NRS_KS-10412,1,0.03,0.03,0.03,38.91634574,-95.9883252
NARS_WQX-NRS_KS-10345,1,0.01,0.01,0.01,39.21883246,-95.54474928
NARS_WQX-NRS_KS-10484,1,0.008,0.008,0.008,38.49167,-96.58222
NARS_WQX-NWC_KS-10098,2,0.0072,0.0072,0.0135,37.34562,-98.41065
NARS_WQX-NRS_KS-10271,1,0.0054,0.0054,0.0054,39.11269578,-99.84059319
NARS_WQX-NWC_KS-10142,1,0.0016,0.0016,0.0016,37.639357,-97.134782
